model,dataset,metric,method,correction,prr_score
Gemma 2 9B,wmt19_lten,MetricX XXL,PPL,DEG2,0.3263802010749475
Gemma 2 9B,wmt19_ruen,MetricX XXL,PPL,DEG2,0.3644120696057241
Gemma 2 9B,wmt14_csen,MetricX XXL,PPL,DEG3,0.4352510858047583
Gemma 2 9B,wmt14_deen,MetricX XXL,PPL,DEG3,0.47789553475956686
Gemma 2 9B,wmt14_ruen,MetricX XXL,PPL,DEG3,0.4349758516030479
Gemma 2 9B,wmt14_fren,MetricX XXL,PPL,DEG3,0.3246703758599649
Gemma 2 9B,wmt19_deen,MetricX XXL,PPL,DEG3,0.43499552489303717
Gemma 2 9B,wmt19_fien,MetricX XXL,PPL,DEG3,0.39776224941107863
Gemma 2 9B,wmt19_lten,MetricX XXL,PPL,DEG3,0.3581111852979512
Gemma 2 9B,wmt19_ruen,MetricX XXL,PPL,DEG3,0.37895195925021413
Gemma 2 9B,wmt14_csen,MetricX XXL,MTE,RAW,0.4499607660775961
Gemma 2 9B,wmt14_deen,MetricX XXL,MTE,RAW,0.4749302851952612
Gemma 2 9B,wmt14_ruen,MetricX XXL,MTE,RAW,0.41877060749996653
Gemma 2 9B,wmt14_fren,MetricX XXL,MTE,RAW,0.358881838921519
Gemma 2 9B,wmt19_deen,MetricX XXL,MTE,RAW,0.44045930678700396
Gemma 2 9B,wmt19_fien,MetricX XXL,MTE,RAW,0.4542775273396426
Gemma 2 9B,wmt19_lten,MetricX XXL,MTE,RAW,0.3353989707193578
Gemma 2 9B,wmt19_ruen,MetricX XXL,MTE,RAW,0.35006489276103253
Gemma 2 9B,wmt14_csen,MetricX XXL,MTE,DEG1,0.46338603484578
Gemma 2 9B,wmt14_deen,MetricX XXL,MTE,DEG1,0.4947367268969127
Gemma 2 9B,wmt14_ruen,MetricX XXL,MTE,DEG1,0.4596160440536557
Gemma 2 9B,wmt14_fren,MetricX XXL,MTE,DEG1,0.3707150082179784
Gemma 2 9B,wmt19_deen,MetricX XXL,MTE,DEG1,0.46694326730361563
Gemma 2 9B,wmt19_fien,MetricX XXL,MTE,DEG1,0.4460788738055472
Gemma 2 9B,wmt19_lten,MetricX XXL,MTE,DEG1,0.37304794798571767
Gemma 2 9B,wmt19_ruen,MetricX XXL,MTE,DEG1,0.41376491640088653
Gemma 2 9B,wmt14_csen,MetricX XXL,MTE,DEG2,0.45786776396298273
Gemma 2 9B,wmt14_deen,MetricX XXL,MTE,DEG2,0.4956223323461108
Gemma 2 9B,wmt14_ruen,MetricX XXL,MTE,DEG2,0.4547101026536686
Gemma 2 9B,wmt14_fren,MetricX XXL,MTE,DEG2,0.35972627230546467
Gemma 2 9B,wmt19_deen,MetricX XXL,MTE,DEG2,0.4604974282715588
Gemma 2 9B,wmt19_fien,MetricX XXL,MTE,DEG2,0.4362222512260162
Gemma 2 9B,wmt19_lten,MetricX XXL,MTE,DEG2,0.34316074883449804
Gemma 2 9B,wmt19_ruen,MetricX XXL,MTE,DEG2,0.40302455923667246
Gemma 2 9B,wmt14_csen,MetricX XXL,MTE,DEG3,0.46441986883788416
Gemma 2 9B,wmt14_deen,MetricX XXL,MTE,DEG3,0.49417019445536153
Gemma 2 9B,wmt14_ruen,MetricX XXL,MTE,DEG3,0.4707322248149718
Gemma 2 9B,wmt14_fren,MetricX XXL,MTE,DEG3,0.35948122364031937
Gemma 2 9B,wmt19_deen,MetricX XXL,MTE,DEG3,0.4689140417018284
Gemma 2 9B,wmt19_fien,MetricX XXL,MTE,DEG3,0.4252556727290464
Gemma 2 9B,wmt19_lten,MetricX XXL,MTE,DEG3,0.3780149683862124
Gemma 2 9B,wmt19_ruen,MetricX XXL,MTE,DEG3,0.41838371156585097
Gemma 2 9B,wmt14_csen,MetricX XXL,MCSE,RAW,0.11043036660721543
Gemma 2 9B,wmt14_deen,MetricX XXL,MCSE,RAW,0.15450863276785132
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCSE,RAW,0.21331033586477557
Gemma 2 9B,wmt14_fren,MetricX XXL,MCSE,RAW,0.12039230309261066
Gemma 2 9B,wmt19_deen,MetricX XXL,MCSE,RAW,0.20092711545519598
Gemma 2 9B,wmt19_fien,MetricX XXL,MCSE,RAW,-0.026988033407255686
Gemma 2 9B,wmt19_lten,MetricX XXL,MCSE,RAW,0.17216936226905086
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCSE,RAW,0.22853798916905285
Gemma 2 9B,wmt14_csen,MetricX XXL,MCSE,DEG1,0.3076370325555125
Gemma 2 9B,wmt14_deen,MetricX XXL,MCSE,DEG1,0.35941875370017035
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCSE,DEG1,0.3281135577840669
Gemma 2 9B,wmt14_fren,MetricX XXL,MCSE,DEG1,0.27635624414683424
Gemma 2 9B,wmt19_deen,MetricX XXL,MCSE,DEG1,0.40062622084257793
Gemma 2 9B,wmt19_fien,MetricX XXL,MCSE,DEG1,0.26597296218259153
Gemma 2 9B,wmt19_lten,MetricX XXL,MCSE,DEG1,0.24542374647670306
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCSE,DEG1,0.35161022207245135
Gemma 2 9B,wmt14_csen,MetricX XXL,MCSE,DEG2,0.30256664950831125
Gemma 2 9B,wmt14_deen,MetricX XXL,MCSE,DEG2,0.36290407338418607
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCSE,DEG2,0.32022252356580505
Gemma 2 9B,wmt14_fren,MetricX XXL,MCSE,DEG2,0.2845102557184314
