model,dataset,metric,method,prr_score
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCSE,0.2827704342387031
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCSE-LINE,0.38919370883357
EuroLLM 9B,wmt14_fren,MetricX XXL,MCSE,0.16435274546200884
EuroLLM 9B,wmt14_fren,MetricX XXL,MCSE-LINE,0.35989455369647594
EuroLLM 9B,wmt19_deen,MetricX XXL,MCSE,0.24741341516879606
EuroLLM 9B,wmt19_deen,MetricX XXL,MCSE-LINE,0.40236502259988166
EuroLLM 9B,wmt19_fien,MetricX XXL,MCSE,0.09772297899375514
EuroLLM 9B,wmt19_fien,MetricX XXL,MCSE-LINE,0.35727451447140135
EuroLLM 9B,wmt19_lten,MetricX XXL,MCSE,0.25358759684348325
EuroLLM 9B,wmt19_lten,MetricX XXL,MCSE-LINE,0.3564031310189961
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCSE,0.27277411459326484
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCSE-LINE,0.34318367457458654
EuroLLM 9B,wmt14_csen,MetricX XXL,MCNSE,0.23039019928848517
EuroLLM 9B,wmt14_csen,MetricX XXL,MCNSE-LINE,0.20952019333773225
EuroLLM 9B,wmt14_deen,MetricX XXL,MCNSE,0.33004206525243474
EuroLLM 9B,wmt14_deen,MetricX XXL,MCNSE-LINE,0.32679540019371445
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCNSE,0.29455956145409207
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCNSE-LINE,0.28276396338384147
EuroLLM 9B,wmt14_fren,MetricX XXL,MCNSE,0.22250682012306594
EuroLLM 9B,wmt14_fren,MetricX XXL,MCNSE-LINE,0.21427579409294706
EuroLLM 9B,wmt19_deen,MetricX XXL,MCNSE,0.27595361353762804
EuroLLM 9B,wmt19_deen,MetricX XXL,MCNSE-LINE,0.25642018601510436
EuroLLM 9B,wmt19_fien,MetricX XXL,MCNSE,0.32400122351921795
EuroLLM 9B,wmt19_fien,MetricX XXL,MCNSE-LINE,0.30441158623066666
EuroLLM 9B,wmt19_lten,MetricX XXL,MCNSE,0.26413261855332093
EuroLLM 9B,wmt19_lten,MetricX XXL,MCNSE-LINE,0.2506280378683252
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCNSE,0.2141300628365373
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCNSE-LINE,0.23373900893459149
EuroLLM 9B,wmt14_csen,MetricX XXL,LSRL,0.289369388576396
EuroLLM 9B,wmt14_csen,MetricX XXL,LSRL-LINE,0.285749030553591
EuroLLM 9B,wmt14_deen,MetricX XXL,LSRL,0.34015992057012756
EuroLLM 9B,wmt14_deen,MetricX XXL,LSRL-LINE,0.34128710806978274
EuroLLM 9B,wmt14_ruen,MetricX XXL,LSRL,0.29955553355961073
EuroLLM 9B,wmt14_ruen,MetricX XXL,LSRL-LINE,0.29863098291033063
EuroLLM 9B,wmt14_fren,MetricX XXL,LSRL,0.27188604643743913
EuroLLM 9B,wmt14_fren,MetricX XXL,LSRL-LINE,0.27193788598062174
EuroLLM 9B,wmt19_deen,MetricX XXL,LSRL,0.3057177435877247
EuroLLM 9B,wmt19_deen,MetricX XXL,LSRL-LINE,0.3042290393940263
EuroLLM 9B,wmt19_fien,MetricX XXL,LSRL,0.3026860499566757
EuroLLM 9B,wmt19_fien,MetricX XXL,LSRL-LINE,0.316364692787877
EuroLLM 9B,wmt19_lten,MetricX XXL,LSRL,0.30675995994487265
EuroLLM 9B,wmt19_lten,MetricX XXL,LSRL-LINE,0.30573081866994817
EuroLLM 9B,wmt19_ruen,MetricX XXL,LSRL,0.196564512003171
EuroLLM 9B,wmt19_ruen,MetricX XXL,LSRL-LINE,0.20738796529305115
Llama 3.1 8B,wmt14_csen,XComet XXL,MSP,0.24881439086362953
Llama 3.1 8B,wmt14_csen,XComet XXL,MSP-LINE,0.32988803079449663
Llama 3.1 8B,wmt14_deen,XComet XXL,MSP,0.3486225695882902
Llama 3.1 8B,wmt14_deen,XComet XXL,MSP-LINE,0.37992431104299645
Llama 3.1 8B,wmt14_ruen,XComet XXL,MSP,0.4084574237713829
Llama 3.1 8B,wmt14_ruen,XComet XXL,MSP-LINE,0.40787749472322743
Llama 3.1 8B,wmt14_fren,XComet XXL,MSP,0.3289375002866562
Llama 3.1 8B,wmt14_fren,XComet XXL,MSP-LINE,0.33372752361439384
Llama 3.1 8B,wmt19_deen,XComet XXL,MSP,0.30596297366206776
Llama 3.1 8B,wmt19_deen,XComet XXL,MSP-LINE,0.37004369041035673
Llama 3.1 8B,wmt19_fien,XComet XXL,MSP,0.04136663630947334
Llama 3.1 8B,wmt19_fien,XComet XXL,MSP-LINE,0.38910392025582324
Llama 3.1 8B,wmt19_lten,XComet XXL,MSP,0.14660693483774415
Llama 3.1 8B,wmt19_lten,XComet XXL,MSP-LINE,0.3803940708525509
Llama 3.1 8B,wmt19_ruen,XComet XXL,MSP,0.37085607515968877
Llama 3.1 8B,wmt19_ruen,XComet XXL,MSP-LINE,0.3361685087378898
Llama 3.1 8B,wmt14_csen,XComet XXL,PPL,0.36186012558440295
Llama 3.1 8B,wmt14_csen,XComet XXL,PPL-LINE,0.4237438518050282
Llama 3.1 8B,wmt14_deen,XComet XXL,PPL,0.3508269922529294
Llama 3.1 8B,wmt14_deen,XComet XXL,PPL-LINE,0.42565226414295027
Llama 3.1 8B,wmt14_ruen,XComet XXL,PPL,0.29653477716981874
Llama 3.1 8B,wmt14_ruen,XComet XXL,PPL-LINE,0.47482295346155456
Llama 3.1 8B,wmt14_fren,XComet XXL,PPL,0.2378704840492846
Llama 3.1 8B,wmt14_fren,XComet XXL,PPL-LINE,0.35020295636355625
Llama 3.1 8B,wmt19_deen,XComet XXL,PPL,0.32962352725202065
